DEBUG:asyncio:Using proactor: IocpProactor
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 47:89:A4:96:DF:6D: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 69:97:C8:B1:FF:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 56:52:19:3D:A9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 56:52:19:3D:A9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 44:F9:EE:A1:F6:2C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 44:F9:EE:A1:F6:2C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 64:D3:EB:A0:9D:FB: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 64:D3:EB:A0:9D:FB: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 69:97:C8:B1:FF:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6F:14:29:E1:35:6B: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6F:14:29:E1:35:6B: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 22:22:8C:BE:36:E2: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 22:22:8C:BE:36:E2: TangentSpectrumW19caf.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 47:89:A4:96:DF:6D: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:26:72:3F:DD:B3: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:26:72:3F:DD:B3: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6C:4A:85:40:29:15: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6C:4A:85:40:29:15: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 24:4B:03:3D:09:00: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6F:87:73:23:13:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D0:03:7D:42:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D0:03:7D:42:70: [TV] Samsung 7 Series (50).
DEBUG:bleak.backends.winrt.scanner:Received 6F:14:29:E1:35:6B: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6F:14:29:E1:35:6B: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 56:52:19:3D:A9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 56:52:19:3D:A9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:DD:85:8A:3A:E0: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:DD:85:8A:3A:E0: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7D:B1:F8:87:F2:55: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7D:B1:F8:87:F2:55: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 47:89:A4:96:DF:6D: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:D1:C3:29:AD:48: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 48:F6:3E:1A:36:18: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 08:66:98:EA:4C:93: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 69:97:C8:B1:FF:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7D:B1:F8:87:F2:55: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7D:B1:F8:87:F2:55: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 0F:24:9F:32:F9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:44:B2:5C:D6:43: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 24:4B:03:3D:09:00: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6C:4A:85:40:29:15: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:26:72:3F:DD:B3: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4E:26:72:3F:DD:B3: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D2:B0:86:D8:4C: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 68:A5:63:88:3C:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received E0:2A:4D:14:AD:68: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 24:4B:03:3D:09:00: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 0F:24:9F:32:F9:92: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:D1:C3:29:AD:48: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 15:13:31:A3:08:83: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 6F:87:73:23:13:79: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 47:89:A4:96:DF:6D: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D0:03:7D:42:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 7C:12:46:B3:19:97: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D0:03:7D:42:70: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received D0:D0:03:7D:42:70: [TV] Samsung 7 Series (50).
DEBUG:bleak.backends.winrt.scanner:Received 24:4B:03:3D:09:00: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 4C:5B:9D:11:1A:58: Unknown.
DEBUG:bleak.backends.winrt.scanner:Received 64:D3:EB:A0:9D:FB: Unknown.
